City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,70.02,clear sky,-23.1203,-134.9692,People ThankYou
3,Nueva Guinea,NI,78.1,broken clouds,11.6876,-84.4562,Posadita La Reyna
4,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Jalu,LY,91.49,clear sky,29.0331,21.5482,صاحبة الفخامة
20,Porto Velho,BR,82.45,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
21,Pierre,US,71.06,clear sky,44.3683,-100.351,Ramkota Hotel
24,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
27,Umm Lajj,SA,85.51,clear sky,25.0213,37.2685,Moon light Furnished Units
29,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
30,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
32,Nagato,JP,76.46,clear sky,34.3833,131.2,いそう庵
35,Faanui,PF,76.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Sangmelima,CM,78.48,moderate rain,2.9333,11.9833,gamestar hotel
40,Saint George,US,70.43,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
41,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
42,Auki,SB,77.59,scattered clouds,-8.7676,160.7034,Auki Motel
49,Baft,IR,77.94,broken clouds,29.234,56.6057,Paeez Hotel & restaurant
52,Pangai,TO,77.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
53,Arcachon,FR,80.92,few clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
55,Sechura,PE,70.59,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
62,Sao Filipe,CV,79.83,moderate rain,14.8961,-24.4956,Hotel Xaguate
63,Kalghatgi,IN,74.52,overcast clouds,15.1833,74.9667,Hotel Aishwarya Residency
68,Bandarbeyla,SO,78.35,clear sky,9.4942,50.8122,JABIR HOTEL
71,Maracaibo,VE,87.28,overcast clouds,10.6317,-71.6406,Motel Aladdin
74,Gangapur,IN,78.67,overcast clouds,26.4833,76.7167,OYO 45271 Hotel Haveli
76,Guerrero Negro,MX,70.75,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Touros,BR,83.79,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
79,Oyama,JP,76.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
80,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
81,Greenfield,US,71.1,haze,42.9614,-88.0126,Brewtown Eatery Bar & Grill
82,Kawalu,ID,70.5,broken clouds,-7.3817,108.2082,West Jontor
86,Zhangye,CN,71.31,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
87,Sarangani,PH,83.77,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
90,Rach Gia,VN,82.31,light rain,10.0167,105.0833,Nhà Hàng Hòa Giang
91,Le Port,RE,71.6,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
92,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
95,Seoul,KR,78.37,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
97,Houma,US,82.4,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
98,Butterworth,MY,82.0,heavy intensity rain,5.3991,100.3638,Cititel Penang
100,Kapaa,US,72.1,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,Victoria,HK,89.19,clear sky,22.2855,114.1577,Mini Central
104,Pec,XK,78.98,overcast clouds,42.6591,20.2883,Gold Hotel
106,Georgetown,MY,81.9,light rain,5.4112,100.3354,Cititel Penang
108,Da Nang,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
112,Lagoa,PT,73.76,overcast clouds,39.05,-27.9833,Casa Das Faias
114,Villa Del Rosario,CO,82.78,few clouds,7.8339,-72.4742,Hotel Villas de San Diego
119,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
120,Keti Bandar,PK,81.75,overcast clouds,24.1447,67.4497,Haji laloo memon house
121,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Moundou,TD,86.16,light rain,8.5667,16.0833,Planete Life
123,Catia La Mar,VE,94.98,few clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
127,Atuona,PF,76.86,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
128,Gunjur,GM,93.27,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
129,Santa Lucia,ES,74.52,few clouds,27.9117,-15.5407,Las Tirajanas
130,Shingu,JP,75.76,overcast clouds,33.7333,135.9833,Shingu UI Hotel
131,Carupano,VE,86.32,scattered clouds,10.6678,-63.2585,Hotel La dorada
134,Kropotkin,RU,71.73,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
138,Sinnamary,GF,87.21,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
139,Morant Bay,JM,90.72,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
142,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
143,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
