City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,2022-09-15 15:17:18,71.9167,114.0833,30.9,94,85,5.7,overcast clouds
1,Rikitea,PF,2022-09-15 15:17:19,-23.1203,-134.9692,70.02,69,0,9.53,clear sky
2,Mataura,NZ,2022-09-15 15:17:19,-46.1927,168.8643,46.47,85,100,7.16,overcast clouds
3,Nueva Guinea,NI,2022-09-15 15:17:20,11.6876,-84.4562,78.1,88,59,6.02,broken clouds
4,Vaini,TO,2022-09-15 15:17:20,-21.2,-175.2,73.56,94,40,4.61,scattered clouds
5,Jalu,LY,2022-09-15 15:17:20,29.0331,21.5482,91.49,21,0,5.79,clear sky
6,Port Hawkesbury,CA,2022-09-15 15:17:21,45.6169,-61.3485,64.18,68,100,16.11,overcast clouds
7,Longyearbyen,SJ,2022-09-15 15:17:21,78.2186,15.6401,33.64,93,75,4.61,broken clouds
8,Mago,RU,2022-09-15 15:17:22,53.2514,140.1822,39.42,82,100,3.89,overcast clouds
9,Zhigansk,RU,2022-09-15 15:17:22,66.7697,123.3711,32.86,79,59,7.58,broken clouds
10,Kodiak,US,2022-09-15 15:17:23,57.79,-152.4072,45.91,93,100,4.61,light rain
11,Thinadhoo,MV,2022-09-15 15:17:23,0.5333,72.9333,81.79,68,17,4.0,few clouds
12,Vostok,RU,2022-09-15 15:17:24,46.4856,135.8833,51.89,82,100,1.57,overcast clouds
13,Nelson Bay,AU,2022-09-15 15:17:24,-32.7167,152.15,58.1,96,100,7.0,light rain
14,Nanortalik,GL,2022-09-15 15:17:25,60.1432,-45.2371,50.32,78,100,10.76,overcast clouds
15,Mount Gambier,AU,2022-09-15 15:17:26,-37.8333,140.7667,47.57,91,100,9.46,overcast clouds
16,Hermanus,ZA,2022-09-15 15:17:26,-34.4187,19.2345,67.8,82,88,3.56,overcast clouds
17,Novopavlovka,RU,2022-09-15 15:17:26,51.2172,109.2091,44.28,90,100,4.65,overcast clouds
18,Mecca,SA,2022-09-15 15:17:27,21.4267,39.8261,96.73,29,42,14.07,scattered clouds
19,Constitucion,CL,2022-09-15 15:17:27,-35.3333,-72.4167,59.81,58,100,4.92,overcast clouds
20,Porto Velho,BR,2022-09-15 15:16:53,-8.7619,-63.9039,82.45,54,65,9.22,broken clouds
